OverallQual,YearBuilt,YearRemodAdd,LotFrontage,TotalBsmtSF,GrLivArea,GarageArea,SalePrice
6,2004,2004,63.0,1158.0,1158,576.0,158000.0
5,1920,1996,60.0,530.0,1111,288.0,101000.0
8,2006,2006,44.0,1370.0,1370,484.0,202500.0
7,1921,1950,50.0,576.0,1710,480.0,140000.0
7,1997,1998,82.46,1057.0,2034,645.0,219500.0
8,2004,2005,76.0,1143.0,2473,852.0,317000.0
7,1970,1989,133.98,1947.0,2207,576.0,180000.0
7,2003,2003,72.0,1453.0,1479,558.0,226000.0
4,1945,1950,47.0,747.0,747,220.0,80000.0
7,1953,1953,81.0,1304.0,2287,667.0,225000.0
7,1973,1973,95.0,2223.0,2223,516.0,244000.0
4,1982,2006,69.0,845.0,845,360.0,129500.0
7,1998,1998,74.0,832.0,1718,427.0,185000.0
5,1954,2003,85.0,1086.0,1086,490.0,144900.0
3,1915,1950,60.0,840.0,1605,379.0,107400.0
4,1973,1973,21.0,462.0,988,297.0,91000.0
4,1956,1956,74.56,952.0,952,283.0,135750.0
5,1948,2001,50.0,672.0,1285,240.0,127000.0
4,1968,1968,72.0,1768.0,1768,0.0,136500.0
5,1910,1981,60.0,440.0,1230,440.0,110000.0
6,1968,1968,100.0,896.0,2142,509.0,193500.0
6,1998,1998,32.0,1237.0,1337,405.0,153500.0
8,2007,2007,78.0,1563.0,1563,758.0,245000.0
5,1960,1960,80.0,1065.0,1065,461.0,126500.0
7,1995,1996,70.3,384.0,1474,400.0,168500.0
8,1991,1992,121.0,1288.0,2417,462.0,260000.0
6,2005,2005,122.0,684.0,1560,400.0,174000.0
6,2009,2009,40.0,612.0,1224,528.0,164500.0
3,1915,1982,105.0,1013.0,1526,0.0,85000.0
4,1994,1995,60.0,990.0,990,0.0,123600.0
4,1950,1950,60.0,0.0,1040,420.0,109900.0
5,1961,1961,85.0,1235.0,1235,480.0,98600.0
5,1921,2006,80.0,876.0,964,432.0,163500.0
6,1910,1998,60.0,1214.0,2291,506.0,133900.0
6,1997,1997,69.0,824.0,1786,684.0,204750.0
6,1993,1993,90.31,680.0,1470,420.0,185000.0
7,1999,1999,78.0,1588.0,1588,472.0,214000.0
4,1965,1965,73.0,960.0,960,432.0,94750.0
5,1920,1950,85.0,458.0,835,366.0,83000.0
4,1959,1959,77.0,950.0,1225,0.0,128950.0
6,1977,2001,86.52,1610.0,1610,480.0,205000.0
6,1985,1985,77.0,741.0,1732,476.0,178000.0
5,1979,1979,64.0,0.0,1535,410.0,118964.0
7,2009,2009,94.0,1226.0,1226,740.0,198900.0
7,1931,1950,66.56,1040.0,1818,240.0,169500.0
8,2003,2004,75.0,1053.0,1992,648.0,250000.0
4,1885,1995,60.0,641.0,1047,273.0,100000.0
5,1948,1950,50.0,789.0,789,250.0,115000.0
5,1919,2005,85.0,793.0,1517,0.0,115000.0
6,1977,1977,105.0,1844.0,1844,546.0,190000.0
6,1954,1972,75.0,994.0,1855,325.0,136900.0
7,2000,2000,62.62,384.0,1430,400.0,180000.0
7,2007,2007,77.0,1264.0,2696,792.0,383970.0
6,1953,1953,152.47,1809.0,2259,450.0,217000.0
6,1945,2002,61.0,1028.0,2320,180.0,259500.0
6,1999,1999,34.0,729.0,1458,440.0,176000.0
5,1962,1962,85.39,1092.0,1092,288.0,139000.0
5,2006,2007,74.0,1125.0,1125,430.0,155000.0
7,1990,1990,90.0,1673.0,3222,594.0,320000.0
6,2005,2006,65.0,728.0,1456,390.0,163990.0
6,1969,1969,101.9,938.0,988,540.0,180000.0
4,1939,1950,50.0,732.0,1123,264.0,100000.0
6,1958,1958,75.0,1080.0,1080,288.0,136000.0
6,1993,1993,55.0,1199.0,1199,530.0,153900.0
6,1979,1998,48.0,1362.0,1586,435.0,181000.0
6,1935,1982,60.0,520.0,754,0.0,84500.0
6,1976,1976,41.37,1078.0,958,440.0,128000.0
5,1930,1950,55.0,672.0,840,0.0,87000.0
6,1966,1966,69.0,660.0,1348,453.0,155000.0
5,1958,1991,69.0,1008.0,1053,750.0,150000.0
7,1966,1966,88.0,924.0,2157,487.0,226000.0
6,2000,2000,105.9,992.0,2054,390.0,244000.0
5,1959,2002,75.0,1063.0,1327,624.0,150750.0
8,2001,2002,67.43,1267.0,1296,471.0,220000.0
5,1968,1993,78.0,1461.0,1721,440.0,180000.0
7,1970,1970,80.0,1304.0,1682,530.0,174000.0
5,1967,1967,97.74,1214.0,1214,318.0,143000.0
7,1988,1989,82.0,1907.0,1959,766.0,171000.0
8,1999,2000,73.0,1004.0,1852,660.0,230000.0
6,1997,1997,65.0,928.0,1764,470.0,231500.0
4,1971,1971,70.0,864.0,864,0.0,115000.0
7,2005,2005,78.0,1734.0,1734,660.0,260000.0
5,1952,1952,71.0,910.0,1385,720.0,166000.0
7,1999,1999,78.0,1490.0,1501,577.0,204000.0
5,1963,1963,70.0,1728.0,1728,504.0,125000.0
6,2004,2006,24.0,970.0,1709,380.0,130000.0
5,1931,1993,51.0,715.0,875,180.0,105000.0
7,2001,2001,71.39,884.0,2035,434.0,222500.0
7,2004,2005,63.0,1080.0,1080,0.0,141000.0
5,1936,1950,53.04,896.0,1344,240.0,115000.0
5,1975,1975,120.0,969.0,969,440.0,122000.0
8,2007,2008,107.0,1710.0,1710,866.0,372402.0
6,1971,1971,69.51,825.0,1993,495.0,190000.0
6,1960,1975,106.01,1602.0,1252,564.0,235000.0
6,1923,1950,84.0,1200.0,1200,312.0,125000.0
6,1924,1950,60.0,572.0,1096,0.0,79000.0
5,1950,1950,60.0,0.0,1040,625.0,109500.0
8,2009,2010,92.0,774.0,1968,680.0,269500.0
7,2004,2005,100.0,991.0,1947,678.0,254900.0
7,2005,2006,134.0,1392.0,2462,576.0,320000.0
6,1984,1984,60.69,1232.0,1232,516.0,162500.0
9,2003,2004,110.0,1572.0,2668,726.0,412500.0
7,2005,2005,95.0,1541.0,1541,532.0,220000.0
4,1956,1956,55.0,882.0,882,0.0,103200.0
6,1926,2004,40.0,1149.0,1616,216.0,152000.0
5,1940,1999,62.0,644.0,1355,0.0,127500.0
5,1955,1993,84.88,1617.0,1867,303.0,190000.0
8,2007,2007,86.0,1582.0,2161,789.0,325624.0
7,2004,2004,62.0,840.0,1720,440.0,183500.0
8,1981,1981,137.22,1686.0,1707,511.0,228000.0
5,1941,1950,86.78,720.0,1382,660.0,128500.0
6,1960,1960,141.0,1080.0,1656,528.0,215000.0
7,1987,1987,44.0,1064.0,1767,504.0,239000.0
6,1961,1961,80.0,1362.0,1362,504.0,163000.0
6,1986,1986,47.0,1606.0,1651,616.0,184000.0
6,1950,2001,84.0,1202.0,2158,576.0,243000.0
6,1988,1989,97.0,1151.0,2060,521.0,211000.0
5,1958,1958,95.49,1052.0,1920,451.0,172500.0
9,2008,2009,63.0,2216.0,2234,1166.0,501837.0
5,1923,2006,60.0,968.0,968,480.0,100000.0
6,2000,2000,24.93,756.0,1525,440.0,177000.0
7,1920,1950,54.0,793.0,1802,216.0,200100.0
5,1957,2006,60.0,0.0,1340,252.0,120000.0
7,2003,2003,63.0,1362.0,2082,484.0,200000.0
5,1908,1991,92.0,504.0,1252,576.0,127000.0
10,1892,1993,90.0,1107.0,3608,840.0,475000.0
7,1990,1991,69.25,1188.0,1217,497.0,173000.0
5,1916,1987,60.0,660.0,1656,180.0,135000.0
5,1979,1979,64.0,1086.0,1224,528.0,153337.0
8,2001,2002,41.0,1593.0,1593,682.0,286000.0
8,1932,1994,70.0,853.0,2727,440.0,315000.0
7,1972,2004,68.38,725.0,1479,484.0,184000.0
7,1999,1999,68.0,1431.0,1431,666.0,192000.0
7,2004,2004,24.0,970.0,1709,380.0,130000.0
5,1972,1972,60.0,864.0,864,352.0,127000.0
6,1976,1976,24.0,855.0,1456,440.0,148500.0
7,2007,2007,79.0,1726.0,1726,786.0,311872.0
8,1918,1990,174.0,1360.0,3112,795.0,235000.0
6,1912,1950,92.0,755.0,2229,0.0,104000.0
8,2004,2005,76.0,1713.0,1713,856.0,274900.0
4,2003,2004,80.0,1121.0,1121,440.0,140000.0
6,1977,1977,75.0,1196.0,1279,473.0,171500.0
6,1924,1950,50.0,617.0,1310,398.0,112000.0
6,2004,2004,38.12,848.0,848,420.0,149000.0
5,1947,1950,50.0,720.0,1284,240.0,110000.0
7,1990,1990,99.0,1424.0,1442,500.0,180500.0
5,1962,1962,40.0,1140.0,1696,349.0,143900.0
4,1960,1960,88.7,1100.0,1100,312.0,141000.0
7,1988,1989,96.13,1157.0,2062,454.0,277000.0
6,1964,1964,75.0,1092.0,1092,504.0,145000.0
5,1925,1950,67.0,864.0,864,0.0,98000.0
6,2009,2009,83.0,1212.0,1212,460.0,186000.0
7,2009,2009,72.0,900.0,1852,644.0,252678.0
5,1995,1995,43.0,990.0,990,576.0,156000.0
6,1977,1977,72.68,689.0,1392,299.0,161750.0
5,1957,1996,72.0,1070.0,1236,447.0,134450.0
7,2004,2004,65.0,1436.0,1436,484.0,210000.0
4,1925,1950,57.0,686.0,1328,210.0,107000.0
7,1939,2006,144.62,798.0,1954,431.0,311500.0
7,2005,2006,43.0,1248.0,1248,438.0,167240.0
7,2006,2006,73.0,1498.0,1498,675.0,204900.0
6,2002,2002,74.28,1010.0,2267,390.0,200000.0
6,1975,1975,85.0,713.0,1552,434.0,179900.0
4,1971,1971,70.0,864.0,864,576.0,97000.0
10,2003,2003,103.0,2392.0,2392,968.0,386250.0
5,1971,1971,21.0,630.0,1302,280.0,112000.0
7,1995,1995,82.0,1203.0,2520,721.0,290000.0
6,1970,1970,21.0,483.0,987,280.0,106000.0
5,1967,1967,70.0,912.0,912,336.0,125000.0
7,2005,2006,43.0,1373.0,1555,430.0,192500.0
6,1959,1959,73.0,1194.0,1194,312.0,148000.0
8,1995,1996,174.0,1462.0,2794,810.0,403000.0
6,1972,1972,21.0,483.0,987,288.0,94500.0
5,1976,1976,75.0,894.0,894,308.0,128200.0
6,2002,2002,74.13,860.0,1960,440.0,216500.0
6,1971,1971,21.0,483.0,987,264.0,89500.0
7,2004,2004,65.0,1414.0,1414,494.0,185500.0
7,1993,2003,72.68,996.0,1744,457.0,194500.0
8,2007,2007,93.0,1694.0,1694,818.0,318000.0
6,1945,1950,52.0,735.0,1487,220.0,113000.0
8,2008,2008,75.0,1566.0,1566,750.0,262500.0
5,1945,1997,40.0,686.0,866,0.0,110500.0
5,1900,1950,63.0,540.0,1440,352.0,79000.0
6,1980,1980,75.0,626.0,1217,288.0,120000.0
7,1994,2002,81.8,948.0,2110,463.0,205000.0
7,1988,1988,80.0,1845.0,1872,604.0,241500.0
6,1910,1950,69.0,1020.0,1928,440.0,137000.0
6,1954,1954,75.0,1367.0,1375,451.0,140000.0
7,2003,2003,72.0,840.0,1668,500.0,180000.0
6,1958,2006,103.19,1444.0,2144,389.0,277000.0
3,1940,1966,55.0,728.0,1306,0.0,76500.0
8,2006,2007,44.0,1573.0,1625,538.0,235000.0
6,2004,2004,65.0,798.0,1640,520.0,173000.0
6,1964,1991,85.0,1302.0,1302,309.0,158000.0
5,1957,1957,70.0,1314.0,1314,294.0,145000.0
7,1999,1999,66.0,975.0,2291,429.0,230000.0
6,2003,2003,64.0,864.0,1728,673.0,207500.0
7,2006,2006,68.0,1604.0,1604,660.0,220000.0
7,2001,2001,80.0,963.0,1792,564.0,231500.0
5,1956,1956,70.0,0.0,882,308.0,97000.0
6,1962,1962,120.0,1362.0,1382,884.0,176000.0
8,2007,2007,69.0,1482.0,2574,868.0,276000.0
6,1977,1995,88.0,506.0,1212,492.0,151000.0
5,1929,2001,50.0,926.0,1316,484.0,130000.0
5,1925,2004,30.0,680.0,764,504.0,73000.0
6,1981,1981,78.0,1422.0,1422,576.0,175500.0
6,1997,1997,70.0,802.0,1511,413.0,185000.0
5,1939,1997,60.0,720.0,2192,240.0,179500.0
5,1940,1955,71.0,740.0,778,924.0,120500.0
6,1976,1976,78.23,1143.0,1113,504.0,148000.0
8,2006,2006,84.0,1095.0,1939,1053.0,266000.0
7,1954,2005,73.0,1385.0,1363,439.0,241500.0
8,1999,2007,92.0,1152.0,2270,671.0,290000.0
6,1958,1988,80.0,1240.0,1632,338.0,139000.0
5,1982,1982,76.0,816.0,816,264.0,124500.0
7,1925,2007,55.0,952.0,1548,672.0,205000.0
7,2003,2003,129.0,1560.0,1560,573.0,201000.0
4,1951,1951,140.0,864.0,864,400.0,141000.0
9,2006,2007,107.0,2121.0,2121,732.0,415298.0
7,1977,1977,83.0,1160.0,2022,505.0,192000.0
7,1989,1989,82.0,807.0,1982,575.0,228500.0
6,2006,2006,60.0,1262.0,1262,572.0,185000.0
7,2007,2008,34.0,1314.0,1314,626.0,207500.0
8,2008,2009,74.0,1468.0,1468,898.0,244600.0
6,1992,1992,50.0,1575.0,1575,529.0,179200.0
7,2006,2007,35.0,625.0,1250,528.0,164700.0
6,1962,1981,77.0,912.0,1734,440.0,159000.0
4,1971,1971,79.12,858.0,858,0.0,88000.0
5,1967,1967,77.0,882.0,900,280.0,122000.0
6,1915,2003,60.0,698.0,1396,384.0,153575.0
8,2006,2006,120.0,1079.0,1919,685.0,233230.0
5,1912,2000,55.0,780.0,1716,0.0,135900.0
5,1949,2008,60.0,768.0,1716,281.0,131000.0
7,1977,1994,152.07,795.0,2263,539.0,235000.0
6,1953,1953,80.0,1416.0,1644,418.0,167000.0
6,1984,1984,37.0,1003.0,1003,588.0,142500.0
5,1950,1950,75.0,910.0,1558,282.0,152000.0
7,1997,1998,66.0,975.0,1950,576.0,239000.0
6,1968,1968,90.0,702.0,1743,539.0,175000.0
6,1950,2004,80.0,1092.0,1152,300.0,158500.0
5,1953,1953,90.0,1165.0,1336,375.0,157000.0
8,1998,1999,66.0,1028.0,2452,683.0,267000.0
7,2001,2002,118.0,1541.0,1541,843.0,205000.0
5,1972,1972,70.0,894.0,894,552.0,149900.0
7,1880,2002,87.0,1470.0,3493,870.0,295000.0
8,2004,2005,80.0,2000.0,2000,888.0,305900.0
7,1990,1991,116.0,700.0,2243,746.0,225000.0
6,1920,1950,79.1,319.0,1406,0.0,89500.0
4,1940,1950,84.39,861.0,861,539.0,82500.0
9,2003,2004,90.0,1896.0,1944,708.0,360000.0
6,1993,1994,66.46,697.0,1501,420.0,165600.0
6,1948,2002,50.0,972.0,972,240.0,132000.0
5,1939,1950,65.0,793.0,1118,410.0,119900.0
7,1965,1965,150.0,2136.0,2036,513.0,375000.0
7,1925,1990,60.0,728.0,1641,546.0,178000.0
7,2004,2005,71.0,716.0,1432,432.0,188500.0
7,1980,1980,94.0,845.0,2353,484.0,260000.0
8,2006,2006,75.0,1088.0,1959,1025.0,270000.0
7,1993,1993,90.0,1347.0,2646,656.0,260000.0
7,1980,1980,94.5,1372.0,1472,588.0,187500.0
9,2006,2006,111.0,1249.0,2596,840.0,342643.0
8,2004,2004,99.0,1136.0,2468,872.0,354000.0
7,1986,1987,86.0,1502.0,2730,576.0,301000.0
3,1955,2005,49.0,1162.0,1163,220.0,126175.0
7,1967,2007,96.0,710.0,2978,564.0,242000.0
5,1941,1950,50.0,720.0,803,360.0,87000.0
8,1993,1993,32.0,1719.0,1719,473.0,324000.0
6,1960,1960,80.0,1383.0,1383,292.0,145250.0
6,1916,1994,92.87,844.0,2134,441.0,214500.0
5,1920,1950,60.0,596.0,1192,189.0,78000.0
5,1964,1964,84.34,1728.0,1728,352.0,119000.0
5,1958,1992,70.0,1056.0,1056,308.0,139000.0
8,2003,2004,85.0,3206.0,1629,880.0,284000.0
7,2004,2004,59.0,1358.0,1358,484.0,207000.0
6,1998,1998,59.0,943.0,1638,472.0,192000.0
5,1965,1965,154.18,1499.0,1786,529.0,228950.0
9,2005,2006,86.0,1922.0,1922,676.0,377426.0
7,2002,2003,70.0,1536.0,1536,532.0,214000.0
7,1984,1998,91.0,1208.0,1621,440.0,202500.0
6,1958,1998,66.0,1215.0,1215,297.0,155000.0
8,2002,2002,85.0,967.0,1908,431.0,202900.0
4,1950,1950,60.0,721.0,841,294.0,82000.0
3,1949,1950,70.59,0.0,1040,400.0,87500.0
9,2005,2005,63.0,1684.0,1684,564.0,266000.0
5,1976,1976,36.0,536.0,1112,336.0,85000.0
6,1939,1950,65.0,972.0,1577,312.0,140200.0
6,1960,1998,60.62,958.0,958,301.0,151500.0
6,1960,1960,111.13,1478.0,1478,498.0,157500.0
7,2003,2004,36.0,764.0,1626,474.0,154000.0
9,2005,2006,56.0,1848.0,2728,706.0,437154.0
9,2007,2007,68.0,1869.0,1869,617.0,318061.0
7,1986,1986,61.63,1453.0,1453,445.0,190000.0
5,1941,1950,60.0,616.0,1111,200.0,95000.0
6,1928,2003,60.0,624.0,720,484.0,105900.0
6,1940,2000,60.0,940.0,1595,240.0,140000.0
6,1995,1995,105.0,1200.0,1200,521.0,177500.0
6,1992,1992,79.64,1158.0,1167,400.0,173000.0
5,1976,1976,44.0,1142.0,1142,528.0,134000.0
5,1958,1958,92.0,1062.0,1352,288.0,130000.0
8,1998,1998,78.0,1086.0,1924,592.0,280000.0
6,1978,1978,64.2,888.0,912,470.0,156000.0
5,1940,1982,65.04,883.0,1505,240.0,145000.0
7,2003,2003,64.0,0.0,1922,672.0,198500.0
6,1972,2007,21.0,483.0,987,264.0,118000.0
6,1976,1976,106.35,796.0,1574,566.0,190000.0
5,1920,1997,59.0,672.0,1344,468.0,147000.0
6,1963,1963,88.07,1394.0,1394,514.0,159000.0
6,1962,1962,101.0,1099.0,1431,296.0,165000.0
5,1954,1954,78.0,1268.0,1268,244.0,132000.0
5,1959,2006,84.13,1063.0,1287,576.0,162000.0
6,2000,2000,73.7,953.0,1664,460.0,172400.0
4,1959,1959,80.0,0.0,1588,680.0,134432.0
6,1984,1984,50.0,744.0,752,264.0,125000.0
5,1953,1953,79.0,608.0,1319,270.0,123000.0
7,2003,2004,65.0,847.0,1928,434.0,219500.0
1,1922,1950,83.39,683.0,904,0.0,61000.0
5,1996,1996,57.0,870.0,914,576.0,148000.0
8,2004,2005,102.0,1580.0,2466,610.0,340000.0
9,2010,2010,88.0,1856.0,1856,834.0,394432.0
6,2000,2000,60.0,982.0,1800,463.0,179000.0
5,1924,1950,50.0,1026.0,1691,308.0,127000.0
7,2006,2006,60.0,1293.0,1301,572.0,187750.0
7,2006,2006,79.0,939.0,1797,639.0,213500.0
6,1928,1950,60.0,784.0,784,360.0,76000.0
6,1992,1992,150.77,1580.0,1953,501.0,240000.0
8,2004,2005,43.0,1256.0,1269,430.0,192000.0
5,1910,1996,58.0,658.0,1184,0.0,81000.0
6,1976,1976,72.0,1041.0,1125,352.0,125000.0
7,1999,2000,93.0,1468.0,1479,577.0,191000.0
10,2007,2008,96.0,1682.0,2332,846.0,426000.0
5,1900,1950,50.0,861.0,1367,384.0,119000.0
6,2001,2002,71.0,804.0,1961,560.0,215000.0
5,1959,1959,77.83,0.0,882,294.0,106500.0
4,1941,1950,62.84,788.0,788,0.0,100000.0
5,1940,1950,60.0,735.0,1034,240.0,109000.0
5,1956,1956,68.0,1144.0,1144,596.0,129000.0
5,1972,1972,60.0,894.0,894,600.0,123000.0
5,1962,1962,69.0,864.0,1812,264.0,169500.0
5,1920,1950,60.0,961.0,1077,338.0,67000.0
7,2006,2007,65.0,1092.0,1550,438.0,241000.0
8,1996,1996,38.0,1260.0,1288,500.0,245500.0
7,2005,2005,65.0,1310.0,1310,400.0,164990.0
5,1940,1997,60.0,672.0,672,240.0,108000.0
8,1998,1998,93.0,1141.0,2263,420.0,258000.0
6,1995,1996,72.82,806.0,1572,373.0,168000.0
4,1976,1993,93.57,1281.0,1620,490.0,150000.0
6,1936,1950,51.0,1064.0,1639,240.0,115000.0
6,1915,1976,63.0,840.0,1680,308.0,177000.0
7,2006,2006,109.0,1063.0,2172,947.0,280000.0
8,2007,2008,85.0,1034.0,2078,836.0,339750.0
5,1958,1958,68.0,1276.0,1276,350.0,60000.0
5,1955,1955,100.0,1056.0,1056,572.0,145000.0
7,2009,2009,60.5,1470.0,1478,484.0,222000.0
5,1927,1950,56.0,1008.0,1028,360.0,115000.0
7,1993,1993,59.0,1080.0,2097,678.0,228000.0
7,2007,2007,73.0,1340.0,1340,396.0,181134.0
6,1978,1978,74.0,672.0,1400,440.0,149500.0
6,1918,1950,86.0,1370.0,2624,864.0,239000.0
5,1940,1950,60.0,756.0,1134,240.0,126000.0
5,1968,1968,65.0,1056.0,1056,304.0,142000.0
7,1997,1998,78.0,1344.0,1344,784.0,206300.0
6,1977,2000,99.94,1602.0,1602,529.0,215000.0
5,1954,1954,100.0,988.0,988,520.0,113000.0
8,1998,1998,80.0,1470.0,2630,696.0,315000.0
6,1956,1956,72.0,1196.0,1196,297.0,139000.0
7,1946,1992,60.0,651.0,1389,240.0,135000.0
7,1989,1989,94.57,1518.0,1644,569.0,275000.0
4,1957,1957,77.0,907.0,907,352.0,109008.0
7,2007,2007,64.0,1208.0,1208,628.0,195400.0
6,1988,1988,130.0,1392.0,1412,576.0,175000.0
6,1971,1971,21.0,483.0,987,264.0,85400.0
6,1920,1998,60.0,901.0,1198,0.0,79900.0
5,1971,1971,24.0,765.0,1365,440.0,122500.0
6,1997,1998,100.0,926.0,1604,470.0,181000.0
4,1972,1972,21.0,630.0,630,0.0,81000.0
7,1996,1996,43.0,799.0,1661,550.0,212000.0
6,1920,1950,40.0,648.0,1118,440.0,116000.0
6,1926,2004,50.0,884.0,904,180.0,119000.0
5,1913,2002,40.0,440.0,694,352.0,90350.0
6,1920,2000,67.0,684.0,1196,528.0,110000.0
10,2008,2008,105.0,3094.0,2402,672.0,555000.0
4,1955,1955,92.0,1440.0,1440,0.0,118000.0
5,1930,1992,52.0,1078.0,1573,360.0,162900.0
7,2006,2007,53.0,1258.0,1258,648.0,172500.0
7,1994,1995,70.0,915.0,1908,493.0,210000.0
6,1956,1956,73.0,1436.0,1689,480.0,127500.0
6,1966,2002,137.0,1517.0,1888,578.0,190000.0
7,1998,1999,100.79,930.0,1886,431.0,199900.0
6,1937,1950,50.0,780.0,1376,198.0,119500.0
3,1948,2002,50.0,649.0,1183,308.0,120000.0
6,1930,2005,70.0,813.0,813,270.0,110000.0
7,1975,1975,62.0,1533.0,1533,576.0,280000.0
6,1996,1997,87.68,872.0,1756,422.0,204000.0
8,2008,2008,75.0,768.0,1590,676.0,210000.0
5,1976,1976,63.0,1728.0,1728,560.0,188000.0
7,1973,1973,80.0,1242.0,1242,528.0,175500.0
5,1916,1950,34.0,624.0,1344,513.0,98000.0
4,1954,1994,118.86,1364.0,1663,529.0,256000.0
8,1925,1996,55.87,588.0,1666,228.0,161000.0
5,1950,1950,68.03,709.0,1203,352.0,110000.0
8,2009,2009,75.0,832.0,1935,552.0,263435.0
7,1936,2007,60.0,560.0,1135,576.0,155000.0
5,1965,1965,60.0,864.0,864,360.0,62383.0
6,1934,1995,74.0,715.0,1660,240.0,188700.0
5,1978,1978,60.0,1040.0,1040,0.0,124000.0
7,2004,2004,44.36,1375.0,1414,398.0,178740.0
7,1970,1970,85.0,1277.0,1277,526.0,167000.0
5,1942,1995,79.0,728.0,1644,312.0,146500.0
8,2006,2006,98.0,1626.0,1634,866.0,250000.0
6,1993,1993,76.0,832.0,1710,506.0,187000.0
8,1985,1985,46.67,1488.0,1502,528.0,212000.0
7,1977,1977,92.0,808.0,1969,534.0,190000.0
6,2005,2005,35.0,547.0,1072,525.0,148000.0
8,2006,2007,110.0,1976.0,1976,908.0,440000.0
8,2000,2000,41.0,1494.0,1652,499.0,251000.0
5,1963,1963,80.0,970.0,970,624.0,132500.0
6,1997,1998,75.0,1478.0,1493,508.0,208900.0
9,2006,2006,105.0,2153.0,2643,694.0,380000.0
8,2007,2008,79.0,1705.0,1718,826.0,297000.0
4,1937,2000,50.0,907.0,1131,672.0,89471.0
9,2004,2005,98.0,1833.0,1850,772.0,326000.0
9,2003,2004,72.0,1792.0,1792,874.0,374000.0
7,1915,2005,50.0,910.0,1826,164.0,155000.0
6,1998,1998,32.0,1216.0,1216,402.0,164000.0
5,1962,2001,70.14,999.0,999,264.0,132500.0
5,1950,2007,80.0,1113.0,1113,264.0,147000.0
5,1965,1965,79.0,1073.0,1073,515.0,156000.0
5,1971,1971,70.0,1484.0,1484,487.0,175000.0
5,1900,1970,60.0,954.0,2414,520.0,160000.0
